nGram,size,mormonFreq,nonMormonFreq
but not,2,12,45
be weeping,2,1,5
have watched,2,1,4
have pleasure in,3,1,1
thine own,2,2,74
but now,2,6,62
knock and it,3,5,2
unto the inhabitants of,4,11,2
concerning this matter,3,6,3
a judgment,2,1,1
to both,2,1,2
and both,2,3,9
general assembly,2,4,1
of the sabbath,3,2,5
which was laid,3,1,1
the gospel unto them,4,2,1
mouth that they,3,1,2
and also all,3,3,2
shall never be,3,4,11
glory there,2,1,1
pride and the,3,1,2
what will ye,3,1,8
fled,1,1,146
do not say that,4,1,1
flee,1,6,105
which according to,3,1,1
thy house and,3,1,6
for the devil and,4,1,1
eating,1,1,27
not of me and that,5,1,1
them into the,3,1,68
blood with,2,1,3
on this,2,8,77
or things,2,3,3
or they,2,6,1
be visited with,3,1,1
is the root of,4,1,1
they grow,2,1,4
under my feet,3,1,2
the god of my,4,1,13
shall be taken,3,7,33
i will have mercy on,5,1,1
unto you if a man,5,4,1
have pleasure,2,1,3
unto abraham and,3,1,3
your loins girt about,4,1,1
have cursed them,3,1,1
i bear record,3,1,2
faith is vain,3,1,1
a,1,1129,8177
head of the,3,2,45
that ye go to,4,1,1
i,1,1886,8837
and all the works,4,1,1
o,1,84,1065
and in jerusalem,3,1,15
of angels to the,4,1,1
touch the,2,1,8
their language that they,4,1,1
house and for,3,1,4
they receive you not,4,2,1
nor in the,3,4,7
of his grace,3,1,5
the lame and the,4,1,2
not that,2,8,103
sanctified and,2,5,4
be good,2,1,9
are kept,2,1,3
be faithful,2,14,2
assemblies and,2,2,1
curses of,2,1,1
their loins and,3,1,1
quarters,1,4,9
him food and raiment,4,1,1
the light and,3,7,15
of one and,3,1,2
sins of,2,6,29
and the face of the,5,1,3
return saith the lord,4,1,1
upon this rock,3,4,2
them not neither,3,1,5
the wife,2,2,47
aloud for joy,3,1,2
ye have not,3,4,47
for my people and for,5,1,1
the churches to,3,2,3
but when,2,5,125
and said unto them why,5,1,8
not then,2,1,18
know that ye,3,1,13
lord your god am,4,1,1
make all things,3,1,2
the beasts of the forest,5,1,2
remit,1,1,1
of repentance,2,9,7
not given to,3,1,6
given him power to,4,1,1
the wind,2,1,60
sea of glass,3,2,3
the wine,2,4,37
their ways,2,1,12
place until,2,1,2
then shall they know,4,2,4
temple was,2,1,5
so it is,3,1,6
the end of your,4,1,1
themselves to the,3,2,4
that he is the,4,2,1
know not the,3,2,17
the will,2,30,42
will receive it this is,5,1,1
lord of the,3,5,17
know the mysteries,3,3,2
judgments thou,2,1,1
ephraim my,2,1,1
no sin in,3,1,1
he give,2,1,10
they might be judged,4,3,1
be ye clean,3,2,1
therefore hearken,2,2,7
with joy,2,5,25
and ye shall not,4,2,15
servants and,2,12,90
lord and when,3,1,3
bringing the,2,1,2
be pleasing unto,3,1,1
know that we,3,1,10
thou shalt not,3,20,240
may consume it,3,1,1
that the church,3,4,2
prayer of the,3,1,3
the office of a priest,5,1,1
and under,2,6,31
god but,2,3,39
shall lie down,3,1,11
flow,1,8,13
your little ones,3,1,11
not this,2,5,48
of paul and,3,1,2
enemies but,2,1,3
that he might,3,10,67
ye keep,2,1,8
done evil in the,4,1,2
and do not,3,8,6
not continue,2,2,1
therefore having your loins,4,1,1
in the fruit of,4,1,7
zion and will,3,1,2
nations and shall,3,1,2
were filled with joy and,5,1,1
became,1,14,106
or thou,2,3,11
to be had in,4,1,1
thing even,2,1,1
shall do that,3,2,1
and should be,3,2,2
in that place,3,1,4
plant them,2,2,6
upon your own,3,1,3
the commandment,2,16,91
acceptable unto,2,6,3
sanctuary a,2,1,2
which sometime,2,1,1
shall be divided against,4,1,1
not know,2,4,21
lord hath brought,3,3,5
his forces,2,1,1
behold from the,3,1,1
spake and,2,1,28
of things,2,3,18
and then to the,4,1,1
the mysteries of the,4,7,2
for the word,3,2,8
off their bones,3,1,1
thou appointed,2,1,3
father how,2,1,2
for the work,3,11,11
great with,2,1,3
teach the,2,3,5
