nGram,size,mormonFreq,nonMormonFreq
resume,1,2,1
but not,2,12,1
the pure,2,7,1
these things and,3,7,2
the life,2,10,3
them that,2,41,3
notwithstanding they,2,2,1
upon every,2,3,1
the lamb shall,3,2,1
the cause,2,13,1
the yoke,2,1,1
ten years,2,1,1
to both,2,1,3
and both,2,3,1
written by,2,6,1
both in,2,15,1
of sin and,3,1,1
shall these,2,1,1
not for,2,22,3
for your,2,41,1
and most,2,2,1
which it was,3,4,2
hair,1,5,1
had fallen,2,1,4
fled,1,1,28
flee,1,6,9
and the wicked,3,7,1
that there is,3,5,1
their wickedness,2,3,3
thee to,2,9,1
on to,2,1,2
ten,1,10,31
said,1,77,30
be a,2,82,2
not in,2,21,2
salt,1,11,1
now for,2,1,1
to move,2,2,3
put on,2,4,1
of his age,3,1,1
the armies of,3,3,3
command to,2,3,1
the army of,3,1,65
not it,2,1,1
be the,2,46,3
place and,2,19,9
gold,1,6,13
utter forth their,3,1,1
to overthrow,2,2,1
them into the,3,1,1
beheld the glory of,4,1,1
and fled and,3,1,1
blood with,2,1,1
prepared for,2,20,9
and cast,2,6,5
of in the,3,5,2
have taken,2,6,1
for these,2,3,2
of fifties and,3,2,3
nations to,2,3,1
it came to,3,6,84
pleasure of,2,1,1
day for,2,2,1
shall be stayed,3,1,1
be thy,2,2,1
half,1,1,13
counselors and,2,8,1
vengeance,1,10,2
their time,2,4,1
old men,2,1,3
neither can,2,7,1
the mouth of,3,20,3
brothers and,2,1,1
of caleb and,3,1,1
the chief,2,1,106
you for,2,30,1
down before,2,1,1
sake,1,14,3
of murder,2,1,2
the length thereof,3,2,2
after,1,167,119
i will,2,246,2
and more,2,4,6
a,1,1129,634
rivers,1,2,2
the dark,2,1,3
neither the,2,16,1
i,1,1886,23
and in the first,4,1,1
laden,1,3,4
the heavens,2,36,1
o,1,84,1
gone,1,15,3
the,1,9449,5231
to say,2,9,1
lifted up,2,6,2
the sun and the,4,2,2
sand,1,2,4
of iniquity,2,2,1
to dwell therein,3,2,1
upon by the,3,4,1
and say,2,6,2
shall pay,2,5,2
and saw,2,1,1
the air and,3,3,4
them go,2,4,1
you in,2,26,1
not that,2,8,1
head of a,3,1,1
and sat,2,1,2
the first day of,4,2,6
place called,2,1,37
of printing,2,3,1
thy,1,331,22
caused him,2,1,1
verily this is,3,6,1
turn,1,22,1
empty,1,1,1
built upon,2,1,2
their deliverance from the,4,1,1
same,1,107,62
