string,n,frequency
but not,2,3
have watched,2,1
be weeping,2,1
thine own,2,2
but now,2,1
nine hundred and ten years,5,1
behold here am i,4,1
wife and were not,4,2
beginning and he came,4,1
revealed himself unto seth,4,1
but that this,3,1
rule the night and the,5,1
unto the inhabitants of,4,1
mind that i could see,5,1
for the use,3,1
it bring,2,1
mine having been opened,4,1
that this should be conferred,5,1
god sent his angel,4,1
them than the,3,1
ears heard,2,1
my father yet,3,1
them and in my hot,5,1
call upon god,3,5
understandings and the true,4,1
of worshiping almighty god according,5,1
should go forth and,4,1
permitted to tarry and,4,1
shall never be,3,1
had said these words,4,2
those daughters were,3,1
above the earth in the,5,2
afterwards he laid his hands,5,1
he talked with him,4,1
fled,1,6
flee,1,3
garden god,2,1
wept and,2,4
me said that,3,1
there shall be famines and,5,1
why thou,2,1
faith was taught unto,4,1
after the priest of was,5,1
and shall cleave,3,2
and kind,2,1
and they numbered the,4,1
under divine providence who,4,1
be darkened and a,4,1
but what,2,2
secret that i,3,1
indeed we may,3,1
eating,1,2
and stretched forth his,4,1
more be covered,3,1
exceedingly and as he,4,1
they shall be had again,5,1
alone i kneeled down,4,1
on this,2,3
that god had a,4,1
as often as occasion,4,1
or they,2,1
that moses looked upon,4,1
grass from its,3,1
them the sons of men,5,1
the silver mine at which,5,1
glory and afterwards remain in,5,1
said unto me behold thy,5,1
it was after the lord,5,1
that there were two stones,5,1
yet employed in the service,5,1
or not so it was,5,1
shall be taken,3,3
he cried unto the lord,5,1
and darkness reigned,3,1
and told me to go,5,2
built a city that was,5,1
when they were formed,4,1
know not save,3,1
this was bone of,4,1
the mountains depart hence and,5,1
call upon all the,4,1
and behold it was corrupt,5,1
until the of,3,1
righteousness for the space,4,1
unto as many as,4,1
conferred upon me,3,1
a,1,240
head of the,3,1
i will show thee the,5,1
ye upon the,3,1
me the planet which,4,1
and desiring to receive,4,1
f,1,7
my son prophesy,3,1
i,1,585
put upon thee my name,5,1
nor the majestic beauty and,5,1
for mine appointment,3,1
great lights,2,3
o,1,3
both religious,2,1
had been baptized,3,2
to the sacrifice of the,5,1
touch the,2,1
works which his hands had,5,1
this did at this time,5,1
a prison,2,1
a moment what,3,1
sanctified and,2,1
he covenanted,2,1
and the lord ordained noah,5,1
zion a new jerusalem,4,1
that i should give,4,1
i am weary because of,5,1
again ascended as he,4,1
james version,2,1
was obedient unto the commandments,5,1
and all the world,4,1
sectarian world was concerned that,5,1
their loins and,3,1
come upon the face of,5,1
at least i,3,1
quarters,1,2
gods took counsel among,4,1
and enoch also beheld the,5,1
the light and,3,1
the necessity of taking,4,1
so exceedingly,2,1
god saw that all things,5,4
therefore walk with me,4,1
abraham had,2,1
the one shall be taken,5,2
cain that he would,4,1
in the blaze of day,5,1
planet above,2,1
children for they are,4,1
i came to myself,4,1
place of my,3,1
because of my,3,2
them but to continue,4,1
a fervent,2,1
sins of,2,1
distinctly that i,3,1
unto which is after the,5,1
was visible above,3,1
expression of the savior,4,1
and must not be influenced,5,1
a garden eastward in eden,5,2
the characters which i had,5,1
yes more above the glitter,5,1
of mine only begotten his,5,1
to me by this,4,1
strange it was,3,1
remained safe in my,4,1
the humble after we,4,1
cursed shall be,3,1
motive,1,1
savior ministry,2,1
of their kingdom until this,5,1
they devised,2,1
things which have befallen them,5,1
and drinking,2,2
their hearts were set to,5,1
tabernacle and it shall,4,1
offering but,2,1
and are looking forth with,5,1
thus the blood of,4,1
not be mentioned here,4,1
relative to him and the,5,1
of man than this,4,1
of repentance,2,2
prepared for them if,4,1
the wind,2,1
the first principles and,4,1
men without desiring a privilege,5,1
occasion would,2,1
know good,2,2
of thee a great nation,5,1
that the translation of,4,1
gods said let us make,5,1
first man of all,4,1
they should repent and,4,1
the fathers in the,4,1
themselves to the,3,1
shall these things be which,5,1
and delivered the,3,1
the will,2,1
he covenanted with enoch,4,1
the that thou seen,4,1
that through the atonement,4,1
a child,2,1
a contest about opinions,4,1
own eyes,2,1
the noble and,3,1
they are mine,3,2
lord god as they,4,1
the moon be,3,1
but fiction feeds the many,5,1
the source from,3,1
being honest true chaste benevolent,5,1
the lord blessed the,4,1
hated of all nations for,5,1
all lies to deceive,4,1
circumstances,1,6
as handle the harp and,5,1
faiths,1,1
world and men,3,1
land with much heat and,5,1
garden and also,3,1
i had formed,3,1
in darkness and confusion,4,1
otherwise in the,3,1
begotten who shall come,4,1
second estate shall,3,1
upon me i saw,4,1
scripture so differently,3,1
called upon god saying in,5,1
christ or there believe,4,1
thou shalt not,3,3
said in the introduction pass,5,1
time which was after,4,1
prayer of the,3,1
master of,2,2
voice dictated by the,4,1
in danger,2,1
god in the of his,5,1
virgins at,2,1
why counsel ye yourselves,4,1
the history,2,2
the messenger had said,4,1
god but,2,1
and then thy servant,4,1
have transpired or as they,5,1
lo a great,3,1
god by mine only,4,1
directly from the loins of,5,1
variation which,2,1
not this,2,2
great even,2,1
thy words will i,4,1
