nGram,size,mormonFreq,nonMormonFreq
but not,2,3,45
have watched,2,1,4
be weeping,2,1,5
thine own,2,2,74
but now,2,1,62
nine hundred and ten years,5,1,1
behold here am i,4,1,1
thou repent,2,1,1
gospel preached,2,1,3
of the fruit of the,5,5,11
wife and were not,4,2,1
unto the inhabitants of,4,1,2
it bring,2,1,2
and the creeping things,4,1,1
them than the,3,1,1
my father yet,3,1,1
stones together,2,1,1
call upon god,3,5,2
shall never be,3,1,11
had said these words,4,2,2
above the earth in the,5,2,1
he talked with him,4,1,5
for days,2,2,1
heavens were,2,1,4
fled,1,6,146
flee,1,3,105
garden god,2,1,1
and they hate,3,1,1
wept and,2,4,13
there shall be famines and,5,1,2
why thou,2,1,82
that i was,3,5,10
and shall cleave,3,2,2
but what,2,2,23
saying tell me i,4,1,1
unto me this is,4,1,4
to every beast of,4,4,6
that adam,2,4,1
lifted up their,3,1,25
place and,2,3,103
eating,1,2,27
sun shall be darkened,4,1,2
on this,2,3,77
lord god almighty and,4,1,1
of adam after he,4,1,1
or they,2,1,1
our souls,2,1,2
shall be taken,3,3,33
he cried unto the lord,5,1,3
and he commanded,3,3,18
and behold it was corrupt,5,1,1
after,1,91,1179
a,1,240,8177
head of the,3,1,45
earth were finished and all,5,1,1
ye upon the,3,1,1
amongst the trees,3,1,1
i,1,585,8837
great lights,2,3,2
day he,2,1,31
o,1,3,1065
touch the,2,1,8
a prison,2,1,1
the air and,3,9,12
god and their,3,2,1
sanctified and,2,1,4
i command you,3,1,14
even so will,3,1,4
that i should give,4,1,2
the book of,3,7,114
james version,2,1,1
and all the world,4,1,2
unto dust shalt thou return,5,1,1
their loins and,3,1,1
quarters,1,2,9
thence unto a mountain on,5,1,1
the light and,3,1,15
of canaan to,3,1,3
abraham had,2,1,2
the one shall be taken,5,2,5
place of my,3,1,6
because of my,3,2,3
sins of,2,1,29
the cool,2,1,1
because iniquity shall abound,4,2,1
a garden eastward in eden,5,2,1
these abominations,2,1,8
cursed shall be,3,1,2
this thing,2,3,84
suffered,1,1,50
they devised,2,1,1
face as,2,1,6
and drinking,2,2,11
him only,2,1,7
his name was,3,2,11
tabernacle and it shall,4,1,1
thou be in the,4,1,5
offering but,2,1,4
