nGram,size,mormonFreq,nonMormonFreq
but not,2,3,1
and a man,3,1,5
these things and,3,3,2
them that,2,14,3
was heard,2,1,2
the cause,2,2,1
in secret,2,1,3
meet them,2,1,3
left,1,17,17
ten years,2,1,1
the earth was,3,2,3
went upon,2,2,1
of our,2,7,8
fifth,1,4,10
written by,2,2,1
name thereof,2,2,2
eleven,1,1,2
up in the,3,1,4
he slept,2,2,1
where is,2,3,2
smote the,2,1,1
shall these,2,1,1
prepare,1,3,6
not for,2,9,3
city of,2,3,12
fifty,1,2,5
this is a,3,2,1
weep,1,6,6
satan,1,33,10
his son,2,3,1
fled,1,6,28
flee,1,3,9
would,1,43,22
their wickedness,2,1,3
thee to,2,4,1
said,1,153,30
ten,1,2,31
be a,2,7,2
scanty,1,1,1
not in,2,1,2
now for,2,1,1
those days and,3,1,1
of his age,3,1,1
from the land of,4,2,3
four winds,2,1,1
came on,2,2,1
be the,2,12,3
place and,2,3,9
where he,2,1,7
gold,1,4,13
destroyed,1,3,17
prepared for,2,3,9
and cast,2,1,5
upon my,2,1,1
think to,2,1,1
for these,2,2,2
neither would,2,1,2
and when he was,4,1,1
it came to,3,59,84
object,1,2,2
day for,2,1,1
be thy,2,1,1
vengeance,1,3,2
old men,2,1,3
say unto,2,16,2
the mouth of,3,4,3
as though,2,1,3
brothers and,2,1,1
on the morning of,4,1,3
you for,2,2,1
sake,1,8,3
lord was,2,6,1
a covenant with,3,1,6
upon me,2,10,1
after,1,91,119
i will,2,37,2
others,1,3,6
a,1,240,634
ordered,1,6,10
rivers,1,2,2
the dark,2,2,3
f,1,7,3
neither the,2,1,1
city that,2,2,2
i,1,585,23
the heavens,2,22,1
o,1,3,1
gone,1,3,3
the day and,3,8,1
the,1,2233,5231
to say,2,3,1
lifted up,2,8,2
the sun and the,4,1,2
sand,1,1,4
and say,2,2,2
upon by the,3,1,1
and they were,3,9,14
the young,2,1,7
the air and,3,9,4
them go,2,1,1
and that there,3,1,1
thy,1,87,22
answered and,2,2,3
turn,1,5,1
midst of the,3,5,4
empty,1,1,1
satan and,2,3,1
built upon,2,1,2
the manner,2,6,1
same,1,27,62
of their,2,10,61
minds,1,2,3
bondage,1,1,7
characters,1,7,1
the book of,3,7,6
and talked,2,1,1
and thou shalt be a,5,1,1
hand,1,23,19
there were many,3,3,3
for there,2,2,7
and said unto,3,10,5
them it,2,1,1
making,1,1,6
quarters,1,2,4
and they shall be,4,3,4
of your,2,1,5
of the land and,4,1,1
and also,2,19,1
to go into the,4,1,2
where they,2,1,9
pennsylvania,1,3,1
the kingdom of,3,3,8
light in,2,1,1
to behold,2,1,4
but few,2,1,2
taking,1,1,4
them in,2,4,18
with fire and,3,1,5
well,1,6,23
aside,1,1,3
the angel of,3,2,2
the light,2,13,4
together in,2,1,2
first of,2,2,1
nations of,2,1,10
taught to,2,1,1
good,1,35,22
faithful,1,2,3
heaven to,2,5,2
the american,2,1,2
they should,2,9,1
was not,2,13,8
him and there,3,1,1
a messenger,2,2,3
this thing,2,3,6
suffered,1,1,11
sound of,2,2,11
to see,2,3,1
came to pass,3,59,84
truth and,2,2,1
smiled upon,2,1,1
light of,2,1,2
went,1,26,76
his name was,3,2,5
lord who,2,1,1
in the presence of,4,2,1
and now the,3,1,1
went upon the,3,2,1
and cried,2,4,1
for the benefit of,4,1,3
the wind,2,1,3
preach the gospel and,4,1,1
you my,2,2,1
not of,2,2,2
morning they,2,3,1
spoken,1,13,8
the arrival,2,1,1
