nGram,size,mormonFreq,nonMormonFreq
and king,2,13,53
and your destruction,3,2,1
but not,2,9,45
be weeping,2,1,5
in that day ye shall,5,2,1
but now,2,7,62
to king,2,3,28
unto abraham and in,4,1,1
knock and it,3,2,2
unto the inhabitants of,4,2,2
concerning this matter,3,4,3
it bring,2,1,2
to both,2,1,2
from thence and,3,1,15
their brethren and,3,15,1
robe of righteousness,3,1,1
thy name to,3,1,5
flew,1,1,2
had said these words,4,33,2
he talked with him,4,1,5
the cities round,3,2,3
much did the,3,1,1
to kill,2,4,31
his face now,3,1,1
fled,1,71,146
flee,1,63,105
do not say that,4,4,1
him away and cast,4,1,1
with a rod,3,4,10
thy house and,3,3,6
jerusalem and he,3,2,10
thee saying let us go,5,1,2
came again,2,9,28
for the devil and,4,2,1
and kill,2,2,15
spake unto her saying,4,1,1
and and these,3,3,7
if we follow,3,1,1
might see and,3,1,1
themselves unto,2,6,21
them into the,3,14,68
on this,2,13,77
he himself before,3,1,1
or they,2,10,1
earth beneath for,3,1,1
fathers and he,3,2,2
they grow,2,1,4
the god of my,4,1,13
recover them,2,2,1
shall be taken,3,11,33
were the of the,4,2,1
behold the voice of the,5,4,1
the ancients,2,3,9
retain my,2,1,1
have cursed them,3,1,1
i bear record,3,5,2
against the but,3,2,1
a,1,2146,8177
head of the,3,8,45
saying what shall,3,1,9
the out,2,3,7
afraid yea,2,1,2
i,1,3317,8837
and all the works,4,1,1
that night and,3,2,6
great lights,2,1,2
o,1,264,1065
unto them as the lord,5,1,8
shalt not make unto,4,1,1
desired to hear,3,1,1
join his enemies together,4,1,1
an army and,3,1,3
eat butter for butter and,5,1,1
stumble and fall and,4,1,3
the mountain of,3,2,24
sanctified and,2,1,4
out of his mouth and,5,1,3
be thy servant,3,2,4
are kept,2,3,3
for judgment,2,2,10
into the wilderness and the,5,2,1
and the people shall,4,3,10
draw nigh and come,4,1,1
fell down before,3,2,9
i helped thee,3,1,1
saith the lord god they,5,1,4
them saying blessed,3,1,1
jerusalem and in,3,1,6
and believe that,3,1,1
quarters,1,7,9
because of me,3,2,4
that day the lord,4,1,3
the darkness and the,4,1,2
ephraim is,2,1,8
his lips shall,3,2,3
the light and,3,7,15
jerusalem and it,3,2,2
hosts shall stir,3,1,1
master is,2,1,2
of babylon flee ye,4,1,1
was a place,3,1,2
place of my,3,1,6
because of my,3,11,3
bent their,2,1,2
he nothing,2,1,2
vain thing,2,2,3
which shall be of,4,2,1
or this,2,4,1
them not neither,3,1,5
cut off from babylon,4,1,1
like a flint and i,5,1,1
they fought,2,13,6
is within thy gates,4,1,6
the cow and,3,3,1
terror and the,3,1,1
my people was he stricken,5,1,1
the words of our,4,2,1
of israel and gather together,5,1,1
know that ye,3,15,13
the and my cheeks,4,1,1
make all things,3,1,2
on all the,3,1,6
we receive,2,1,5
of repentance,2,7,7
know good,2,5,1
might not depart,3,1,1
are made white,3,2,1
so it is,3,4,6
the end of your,4,2,1
that he is the,4,2,1
to preach unto,3,19,2
that i may slay him,5,1,1
opened not his mouth,4,3,1
lord of the,3,36,17
cause of his people behold,5,1,1
know the mysteries,3,3,2
saw that was,3,1,2
of mount zion and,4,1,1
having never,2,1,1
a child,2,14,29
own eyes,2,7,14
went with them,3,1,6
gone away from mine,4,1,1
it came to pass because,5,2,1
his glory he,3,1,1
also tell,2,1,1
with joy,2,21,25
god hath opened mine ear,5,1,1
them that the,3,9,8
and gomorrah,2,1,11
know that we,3,2,10
and the together and a,5,1,1
that the church,3,4,2
people round about,3,1,3
us wherefore,2,2,1
master of,2,3,13
in danger,2,7,7
died before,2,2,6
shall lie down,3,6,11
jerusalem for the,3,5,2
flow,1,2,13
ye say praise the lord,5,1,1
your little ones,3,2,11
his sight as,3,1,2
great even,2,3,1
enemies but,2,1,3
yet your heavenly father them,5,1,1
that he might,3,68,67
ye keep,2,8,8
they had hid themselves,4,1,1
him blessed art,3,2,1
thou art worthy,3,1,3
not continue,2,1,1
you by taking thought can,5,1,1
they clapped their hands,4,1,1
will shake the heavens and,5,1,3
them hath the,3,1,2
nations and shall,3,3,2
mock at,2,2,2
became,1,96,106
thing even,2,1,1
in safety and i will,5,1,1
other disciples,2,1,2
upon your own,3,1,3
am i send,3,1,1
waters of the river,4,2,4
there neither,2,1,6
the commandment,2,16,91
staff against thee after the,5,1,1
evil can,2,2,1
stand forth in the midst,5,1,1
would declare unto,3,1,1
one by one that,4,1,1
his forces,2,2,1
the and took,3,1,1
this land for the,4,2,1
they fell to,3,6,1
there shall a,3,1,1
the calf and the,4,2,2
on the east of the,5,4,1
servant justify,2,1,1
for the word,3,4,8
the cup of trembling,4,2,2
beloved touching his,3,1,1
breadth,1,1,89
and thou shalt no,4,1,3
upon you the spirit,4,1,1
for the work,3,1,11
teach the,2,21,5
times,1,33,145
isaiah hath,2,1,1
as i have seen,4,3,2
that there should,3,32,7
they shall be heard for,5,1,1
