nGram,size,mormonFreq,nonMormonFreq
country was,2,1,2
the second month in the,5,1,1
but not,2,9,1
these things and,3,27,2
the pure,2,4,1
and a man,3,5,5
the life,2,17,3
raise their,2,2,1
was heard,2,1,2
the yoke,2,7,1
to both,2,1,3
and the beauty,3,1,1
written by,2,15,1
thee so,2,1,1
smote the,2,2,1
to grant,2,1,1
their brethren and,3,15,2
they had become,3,8,1
space of three,3,16,3
and most,2,4,1
renowned,1,1,1
the cold,2,1,2
had fallen,2,34,4
fled,1,71,28
flee,1,63,9
kept him,2,1,1
their wickedness,2,42,3
with a rod,3,4,1
other side,2,2,5
thee to,2,10,1
be a,2,123,2
came again,2,9,2
the earth to receive,4,1,1
whom were,2,7,1
pass that the hearts,4,1,1
plenty,1,3,1
place and,2,2,9
gold,1,61,13
them prisoners of,3,1,1
them into the,3,14,1
had fallen from heaven,4,2,1
for these,2,12,2
out before the,3,1,2
day for,2,10,1
boldness and,2,2,1
on the other side of,5,2,2
the mouth of,3,31,3
down before,2,9,1
the ancients,2,3,2
after,1,507,119
and more,2,10,6
a,1,2146,634
rejoicings in,2,1,2
rivers,1,3,2
neither the,2,7,1
i,1,3317,23
laden,1,2,4
numerous than,2,8,1
o,1,264,1
gone,1,74,3
should fall,2,21,2
to say,2,15,1
were like unto,3,1,3
lifted up,2,56,2
of iniquity,2,30,1
knew not that,3,7,1
and say,2,20,2
fire even,2,1,1
and saw,2,11,1
the air and,3,4,4
them go,2,2,1
not that,2,46,1
to and fro upon,4,2,1
that we be,3,2,1
another but,2,5,3
caused him,2,1,1
words his,2,2,1
turn,1,62,1
empty,1,1,1
them he,2,12,1
with blood and,3,1,1
the book of,3,24,6
for they were not,4,2,1
their laws,2,5,1
of iron and,3,7,4
besides,1,3,6
the history of the,4,1,1
long and,2,5,1
wicked man,2,6,1
for there,2,34,7
them it,2,4,1
put them,2,8,6
were glad,2,3,1
quarters,1,7,4
and they shall be,4,28,4
cross the river,3,2,1
the shadow,2,3,3
and also,2,510,1
notwithstanding it,2,1,2
possessed of,2,1,1
was a place,3,1,1
they came down,3,6,1
taking,1,15,4
them in,2,100,18
with fire and,3,13,5
thereof yea,2,2,1
king who,2,6,4
the light,2,32,4
had surrendered,2,2,1
about three hundred,3,1,6
day in,2,3,4
disturbed,1,1,2
with their whole,3,1,1
taught to,2,10,1
good,1,229,22
guards,1,30,1
faithful,1,31,3
heaven to,2,2,2
they fought,2,13,4
him and there,3,3,1
this thing,2,47,6
suffered,1,54,11
in the darkness,3,1,1
and they have,3,35,1
to see,2,10,1
those little ones,3,1,1
but when,2,8,22
day it,2,4,1
he caused,2,45,1
his tongue,2,1,1
smiled upon,2,1,1
and set,2,11,5
they he,2,1,1
his name was,3,13,5
twenty and fourth,3,4,1
upon one,2,2,2
the third day of,4,1,4
drive them out,3,6,1
object of his,3,1,1
them so,2,3,7
souls and the,3,3,1
the wind,2,11,3
the wine,2,6,1
in the strength,3,9,2
the king and,3,51,24
not they,2,5,1
the language of the,4,8,3
themselves to the,3,4,1
and his army,3,4,4
they in,2,1,2
of the day of,4,1,2
of death in,3,1,1
the scripture,2,4,1
them to,2,121,31
order,1,47,3
it had been in,4,1,1
guards and,2,1,1
might cease,2,1,1
their teeth,2,2,2
circumstances,1,13,1
earth say,2,1,1
suffer not,2,4,1
it was an,3,3,1
with joy,2,21,5
saying verily,2,1,3
them up,2,42,1
day of,2,39,87
servants and,2,7,3
the wild,2,19,6
so the,2,4,23
the came upon the,4,1,1
and she,2,14,11
shall live,2,5,3
not hear,2,10,1
conquerors of,2,1,2
king therefore they,3,1,1
it was as,3,2,2
to the east,3,1,6
returned to his,3,3,2
rose,1,2,7
thousand,1,55,87
like the,2,13,3
thou shalt not,3,26,1
to pass when the,4,2,2
in a valley and,4,1,1
of the war,3,3,11
of the was,3,7,3
more than a thousand,4,2,7
protection,1,7,3
the message he,3,1,1
the like,2,2,1
a stone,2,3,2
in danger,2,7,1
and under,2,4,1
number of the,3,9,23
the history,2,5,4
the hand of the,4,31,2
for it came to,4,4,3
the twelfth,2,1,11
them with the,3,5,3
hold to the,3,1,1
were smitten,2,5,1
ceasing,1,5,1
great even,2,3,1
appointed by the people to,5,1,1
that he might,3,68,2
is compelled to,3,1,1
them on,2,9,4
the success,2,4,1
them or,2,10,1
sixth year,2,21,1
became,1,96,24
com,1,14,6
were just,2,2,1
and he would,3,8,1
even to,2,52,5
to pay tribute to,4,1,1
only one,2,1,2
were in a,3,9,1
and took their,3,7,2
waters of the river,4,2,2
the commandment,2,16,1
forth into the,3,19,2
waters of the,3,9,36
they do,2,29,1
for the lord,3,57,1
march towards,2,4,1
protected by,2,2,1
now they,2,23,2
sheep and,2,8,2
whence,1,21,8
chaff before the wind,4,2,1
spake and,2,3,2
kings and,2,5,1
ye shall never,3,2,1
at the east end of,5,1,2
scourge the,2,1,1
with a sling,3,1,1
came to pass when,4,10,5
by the enemies of,4,1,2
children and the,3,2,2
breadth,1,1,4
space of about,3,1,4
the lion,2,2,3
unto the land of,4,9,1
the prince of,3,2,1
times,1,33,10
of their own,3,10,6
they for,2,5,1
now it came to,4,159,18
ourselves upon the,3,1,1
to repent of their,4,4,1
pitched their,2,9,5
cry,1,116,1
lord will not,3,6,1
shore,1,2,14
sea even,2,1,1
hopes of,2,4,1
the rising,2,4,4
he wrote,2,15,3
three score,2,1,10
short,1,5,2
the garden,2,10,1
things which they,3,21,2
now this,2,58,7
not steal,2,3,1
now the sons,3,1,1
beautiful,1,16,7
watch and,2,3,3
were the voice of thunder,5,1,1
on account,2,10,2
go forth from the,4,2,1
she may,2,1,1
it fell,2,5,2
protect the,2,6,1
glass,1,1,1
languages,1,4,1
begin to,2,28,1
were spread upon,3,1,2
as did,2,5,2
of arms,2,1,2
it was in,3,17,2
and say unto him,4,2,1
one whose,2,2,1
cup,1,10,1
but kept,2,1,1
cut,1,72,3
and seven,2,1,7
it into,2,9,2
delivered up,2,11,1
were in the days of,5,1,1
to walk in,3,3,1
opposed them,2,1,1
pity,1,4,3
knowing that they,3,1,1
by the people,3,22,5
which our fathers,3,2,1
the wise,2,7,21
fruits of,2,4,1
of the king who,4,1,3
army were,2,1,3
actual,1,1,1
it was on,3,4,1
and carried,2,13,6
to the word of the,5,7,1
the king came,3,2,7
time all,2,1,1
in the presence,3,7,1
thigh,1,1,2
catch the,2,1,2
by a,2,14,17
the going down,3,2,3
they not written,3,1,4
it was of,3,1,2
fire and the,3,3,2
fought against,2,3,5
joy for he,3,1,2
ministers of,2,1,3
there were great,3,2,2
now the army of,4,1,3
any more,2,22,1
slew him with his own,5,1,1
could invent,2,1,1
the judgment of,3,3,2
they thought of the,4,1,1
set our,2,1,1
her own,2,2,1
and the strength,3,2,1
and called,2,2,5
memory,1,6,3
for have not,3,1,1
apparel,1,14,1
all parts of the,4,1,2
of the and the,4,10,2
windows of,2,2,1
the one on the,4,1,1
against a,2,3,7
hear him,2,2,1
many more,2,17,1
of the great,3,21,45
came out,2,14,4
that there was,3,30,3
time and,2,22,5
kindness,1,3,1
on the one,3,3,2
that they fell,3,6,1
mightier than,2,4,1
doings,1,21,1
the seventh month,3,1,6
the strong,2,1,118
better,1,25,1
to the house of,4,4,1
the south of the city,5,1,1
face of,2,150,13
west of the,3,7,1
third,1,26,15
shall none,2,1,1
are our,2,3,1
fire with,2,1,1
surrendered themselves,2,2,2
them do,2,2,1
came in their,3,1,1
sackcloth and,2,1,1
the people began to,4,20,2
him lest,2,2,1
enter,1,59,1
had the,2,11,1
again there,2,1,1
to flee from before,4,1,1
them food,2,1,1
the wilderness round about,4,1,1
slain for the,3,4,2
of our whole,3,1,1
the slain of,3,7,3
shall come,2,182,2
man and,2,49,11
cast away and they,4,1,1
to meet the,3,5,6
but let us,3,1,1
on the twelfth,3,1,2
his country,2,4,4
slain in battle and,4,1,1
it fell to the,4,1,1
persuasions,1,2,1
slaying,1,6,1
written in,2,16,14
there came a,3,10,2
him were,2,1,4
the inheritance of,3,2,1
the evil,2,22,10
ninety,1,11,4
he heard,2,1,3
given to the,3,1,3
them were slain,3,2,1
the fulness,2,28,1
them for,2,59,8
their backs,2,4,3
he looked,2,4,2
think,1,17,1
had gained,2,5,4
for it came,3,4,3
thine,1,41,3
thing,1,143,21
one of the strongest,4,1,1
possession,1,65,1
is prepared,2,7,1
peace among,2,5,1
of jacob,2,46,4
the fear of the,4,11,1
they stood in need,4,1,1
of the king was,4,1,9
of time,2,10,4
gathered together,2,64,6
for their,2,67,20
the commandment of,3,10,1
into their hands that,4,1,2
day,1,360,187
majesty,1,5,1
the one on the one,5,1,1
one upon,2,1,3
people even,2,3,1
them as,2,20,4
the angel of the lord,5,9,1
the cry of the,4,1,1
to slay him,3,5,1
them at,2,11,3
he had brought,3,2,1
of their evil,3,2,1
demands,1,8,1
fifteenth year of the,4,2,3
another concerning the,3,2,1
and ashes,2,1,1
the mountains and the,4,2,1
his name shall,3,4,6
down at the,3,2,1
are like,2,1,2
king was,2,13,12
robbed their,2,1,1
the enemies of the,4,1,1
him a man,3,1,1
times to come,3,1,1
them by,2,34,4
unto saying,2,7,1
had gathered themselves,3,4,1
guarded,1,3,2
no more the,3,1,1
same year that the,4,1,3
them be,2,3,1
evil according to,3,1,1
and our children,3,12,1
from off their,3,1,1
had happened unto,3,7,1
mighty men,2,4,2
man and he had,4,1,1
was great for,3,1,1
flocks,1,77,1
the rest of,3,11,4
as many,2,65,1
themselves before the,3,6,1
his men that they,4,2,1
the dust of the,4,6,1
den,1,3,1
whose hearts,2,2,2
took the command,3,1,1
spoken unto them,3,7,1
elijah,1,1,2
cause of,2,50,3
which was in,3,31,1
being on,2,1,5
shore of the,3,2,1
heat of,2,2,4
from the city,3,2,3
the pride,2,32,7
of the king army,4,1,2
the length thereof was,4,1,1
taught,1,81,1
he would bring,3,2,1
the bravery,2,1,2
bodies,1,31,1
to drive them,3,3,3
he departed from the,4,1,1
with swords,2,7,2
down to,2,77,8
round about even,3,1,1
done even,2,3,1
and came into,3,2,1
friendly to,2,2,2
down of,2,5,3
nor shall,2,1,1
remained,1,11,9
our lord,2,7,1
with a loud voice,4,9,1
they came against,3,1,1
the rough,2,1,2
was lifted,2,2,1
even that we,3,1,1
die,1,42,5
did,1,1990,39
evils,1,1,19
crime,1,8,1
forgotten,1,14,3
also the,2,94,1
we may not be,4,2,1
yea these,2,2,1
entered into the,3,5,1
be made,2,41,1
and ten,2,2,22
yielded,1,7,3
heights of the,3,1,1
slew them,2,2,3
and said,2,98,6
matter and,2,4,2
came to the,3,19,4
armies,1,150,12
which he brought,3,1,1
towards the north,3,1,3
in this wise,3,1,2
tenth month,2,1,5
being in,2,5,6
that the sons of,4,3,1
exceeded,1,1,2
their tents and their,4,1,1
pass upon,2,2,1
made,1,280,91
was dark,2,2,1
pass that jacob,3,1,1
waving,1,1,3
length,1,5,7
pass that one of,4,2,1
and the number of,4,1,15
shall come when,3,4,1
life of the world,4,3,1
own hand,2,4,1
man in the,3,4,1
to the,2,998,195
and the,2,1292,493
yea all,2,28,1
and one of,3,2,1
and moved,2,1,1
their hands and,3,6,5
world and,2,29,1
to thy,2,14,2
back,1,52,9
construct,1,4,3
attempt,1,12,2
man neither,2,3,1
thick,1,3,2
down in,2,15,3
bade,1,5,3
one against another and,4,2,2
be known,2,4,1
a sore,2,7,6
now there was a,4,7,1
sabbath day,2,4,2
were given,2,7,1
he was spoken of,4,1,1
wickedness that,2,3,1
that was preparing,3,1,1
of false prophets,3,1,1
on both sides,3,6,3
being,1,261,48
came to pass that a,5,2,5
who were called,3,13,3
already had,2,1,1
they hearkened,2,1,2
freedom and,2,7,3
of his glory,3,7,1
hear it,2,1,1
farewell,1,9,1
amongst them,2,5,9
been written by,3,1,1
dog,1,1,4
upon them for,3,3,1
saw the,2,44,6
with the body of,4,1,1
turned into,2,2,1
and thy,2,45,1
thief,1,1,1
unto a,2,24,13
written ye,2,1,1
scattered,1,61,3
of his mouth,3,3,2
known,1,110,13
to glory,2,1,2
twenty and seven,3,1,1
time and the,3,3,1
which he is,3,1,1
in the hearts,3,6,2
lying,1,11,3
shoes,1,1,1
and that they,3,37,2
of the king began to,5,1,1
hope that,2,5,1
understandings,1,1,1
number of the vessels,4,1,1
mighty man,2,11,1
their pride and,3,5,1
of the earth say,4,1,1
cries,1,18,1
have been,2,229,4
of heaven and they,4,1,1
nourished,1,23,1
among other,2,2,1
this came,2,1,1
might be healed,3,2,1
hearken unto him,3,2,1
things and more,3,1,1
thus were the,3,14,2
the benefit of man,4,1,1
scattered them,2,1,1
the fierceness of,3,1,3
from all nations,3,1,1
the of all,3,1,1
so that the,3,1,9
by the servants of,4,2,3
cried,1,44,4
of destruction which,3,1,1
went out and,3,1,2
joshua,1,1,7
and slay him,3,2,1
to scorn,2,1,1
bearing,1,6,1
shall be no more,4,1,1
hands the,2,1,1
the great tower,3,3,1
fortify,1,15,2
ponder these,2,1,1
shall be unto,3,6,1
the king lying,3,1,1
not to be,3,7,1
it came to pass when,5,10,5
had been in,3,8,1
hired,1,2,2
the other side of the,5,2,3
to the of the,4,1,3
were sorely grieved,3,1,2
a numerous host,3,3,1
off and the,3,1,1
and drove them back,4,2,1
the other side of,4,2,3
dearly,1,5,1
fathers for,2,6,1
not yet,2,5,1
has fallen,2,4,1
been to,2,3,1
overpowered,1,6,5
hands of the people,4,1,1
captain of,2,1,60
an end,2,59,6
the length of,3,1,2
the path of,3,2,1
of all manner of,4,6,1
being near the,3,1,1
to save,2,9,1
and put a,3,1,2
in the first year of,5,5,3
the land that he might,5,2,1
the angel of the,4,9,1
both in the,3,5,1
what thou,2,5,1
