string,n,frequency
moreover satan entered,3,1
a strong vessel,3,3
but not,2,1
shadow of a,3,1
these were cunningly contrived,4,1
plunder whereupon a fishing boat,5,1
them on the one cheek,5,1
a certain hypocrite,3,1
to both,2,3
and both,2,1
teeth with,2,1
of newark before they,4,1
the mighty deep a thing,5,1
with the slain and the,5,2
their brethren and,3,2
but the inhabitants round,4,1
dust fell,2,1
life blood flowed fast still,5,1
they cast at,3,1
called cape horn and far,5,1
now therefore whether it,4,1
enemy regarded him,3,1
in their ears that they,5,1
had fallen,2,4
fled,1,28
flee,1,9
hundred fighting men who,4,1
lovely and patriotic,3,1
with a rod,3,1
wild roe,2,1
brown went to,3,1
aloud and drank of the,5,1
he would fain blot from,5,1
came again,2,2
wickedness was,2,1
when the wise men,4,1
of jackson the,3,3
your blood may,3,1
month a brave,3,1
the host of britain,4,23
of the ship but he,5,1
them into the,3,1
on the bosom,3,1
blood with,2,1
of boasting and,3,1
with dreadful and sound ed,5,1
ships of britain essayed,4,1
of britain they put their,5,1
nevertheless they came,3,1
decatur had returned in,4,1
man of wealth and a,5,1
aloud and fell,3,1
thing will,2,1
was conquered and,3,1
they had trusted to the,5,1
earth say unto them,4,1
had remained at,3,1
law of nations for it,5,1
it may be said the,5,1
upon william,2,1
general armstrong and a,4,1
the ancients,2,2
rulers of britain were,4,1
echoed through,2,1
given to them and they,5,1
money save a little which,5,1
a,1,634
c,1,1
d,1,2
engines slew,2,1
f,1,3
i,1,23
l,1,1
m,1,3
n,1,2
o,1,1
to boyd,2,1
lakes of michigan and,4,1
the sun when he,4,1
p,1,1
s,1,3
t,1,4
w,1,1
land of hibernia and him,5,1
name amongst the brave,4,1
where two score and,4,1
hold whose name was,4,1
crimes against them but the,5,1
captain was greater,3,1
tongues were smoother than oil,5,1
furthermost part,2,1
so that when found he,5,1
yankees these sons of these,5,1
the privateer was called,4,1
rains a,2,1
captain arrived,2,3
on the following day,4,1
and capture at,3,1
was equipped with thirty,4,1
the history of the,4,1
of the town about,4,1
and boyd,2,1
thing william shall,3,1
the end of time neither,5,1
quarters,1,4
the inhabitants saying,3,1
unto them the whole,4,1
gospel and instruct them in,5,1
captain of the men called,5,1
west of the town about,5,1
become great and the king,5,1
was a place,3,1
like the barbarians of old,5,1
with a good heart,4,1
man of courage and whose,5,1
devised by,2,1
fortifications of brooklyn and capture,5,1
and her fair sisters,4,1
had surrendered,2,1
this decree of the,4,1
britain rested upon the plains,5,1
fleet of columbia captured another,5,1
columbia their spirits sunk,4,1
nevertheless chauncey followed,3,1
by broke a valiant,4,1
allies the,2,1
black clouds,2,2
sent before them,3,1
morning they appeared before the,5,1
those who were slain,4,1
they fought,2,4
valiant men of columbia,4,2
were bent on destroying,4,1
down before the servants of,5,1
king even against,3,2
three of the brass engines,5,1
against two strong ships of,5,1
of the great with,4,1
these days whilst the fleet,5,1
niagara having prepared his,4,1
they might be sheltered,4,1
of britain that hemmed him,5,1
the neutral,2,1
columbia which had been,4,1
columbia grieved only,3,1
was mightily afraid,3,1
country was the pride of,5,1
two thousand six hundred valiant,5,1
william whose was hull,4,1
horde of savages and servants,5,1
day the sails,3,1
fix a strong,3,1
same month the chief captain,5,1
into lake champlain,3,1
its protection,2,1
stephen the,2,1
the river which to,4,1
her but the rest,4,1
vessel in defiance of,4,1
timid,1,1
head quarters and the,4,1
they wished war might,4,1
of blood the great of,5,1
plans that,2,1
with joy,2,5
practice during the war although,5,1
and capture of,3,1
the came upon the,4,1
they cried aloud for peace,5,1
they let the mischievous,4,1
until the setting of the,5,1
evil as well as a,5,1
while the war,3,1
winchester found,2,1
king therefore they,3,1
nevertheless they persevered although,4,1
connecticut in the east,4,1
tents hard by,3,1
which had been written,4,1
and the scalping knife,4,1
are they not recorded,4,1
of christian slaves which,4,1
as the motion of a,5,1
of the avon was,4,1
the message he,3,1
in danger,2,1
a greater number,3,1
the king ship called,4,1
a clock a d as,5,1
black dust fell,3,1
was downs he made,4,1
mariners deserted her,3,1
drag forth,2,1
and which being translated,4,1
of the gauls,3,2
song of men,3,1
as he was coming,4,1
and his vessel,3,1
great even,2,1
capture of the ship,4,1
united states were either slain,5,1
appointed by the people to,5,1
shooting stars,2,2
that he might,3,2
is compelled to,3,1
the conquerors and they,4,1
and distributed them with a,5,1
wickedness thereof even caleb,4,1
making on the borders,4,1
sight was shocking,3,1
became,1,24
age of threescore did,4,1
the whom they,3,1
earth sealed with the signet,5,1
thousand horsemen,2,1
of his heart he,4,3
who had fought under wellington,5,1
waters of the river,4,2
they do these,3,1
the space of one hour,5,1
the vernacular tongue which on,5,1
the commandment,2,1
and a thousand savages that,5,1
into the boats and those,5,1
of hume the scribe,4,1
gaines arrived from,3,1
britain fled in haste to,5,1
its to build,3,1
europe not,2,1
him with in their own,5,1
were also augustus whose,4,1
columbia the one named and,5,1
was fain to grant lest,5,1
gave them to drink of,5,1
he marshalled out his,4,1
their understandings to,3,1
for broke had gotten,4,1
a dreadful fight inasmuch,4,1
ninth month early in,4,1
upon them from the strong,5,1
by the enemies of,4,2
and prepare for the,4,1
breadth,1,4
unto jackson,2,1
thine evil,2,1
men so that,3,1
great with,2,1
deafening noise that,3,1
heavy metal struck him as,5,1
hundred and three score and,5,1
times,1,10
about a furlong off,4,2
the united states made great,5,1
be prisoners unto you,4,1
tried men souls even in,5,1
and the plunder but they,5,1
was proctor,2,1
of lions that they,4,1
to conquer you,3,1
their villages and laid,4,1
of juggernaut the,3,1
hopes of,2,1
or sorely wounded,3,1
he wrote,2,3
came being on the other,5,1
nations the people throughout the,5,1
decatur saying,2,1
wished to retake,3,1
people to bring these,4,1
yea it was dreadful as,5,1
the helpmate of freedom,4,1
made manifest her,3,1
and rogers and and,4,1
somewhat like unto the,4,1
the paw,2,1
as the mighty earthquake,4,1
beautiful,1,7
air this,2,1
another strong fleet,3,1
returned to his own home,5,1
tidings that he,3,2
for their pride,3,1
moreover they much,3,1
from erie to the,4,1
and the evils of war,5,2
wilkinson crossed the,3,1
now these balls,3,1
after they had become captives,5,1
were fain to,3,1
ninety second year of the,5,1
for his bravery,3,3
in showers upon the servants,5,1
deceived thinking it was,4,1
fight against their brethren and,5,1
and weighed them well even,5,1
eden the,2,1
he saved,2,1
wool and leonard and,4,1
expired they,2,2
neither would they he,4,1
the waters of europe the,5,1
army were,2,3
ross their chief captain,4,2
overcome even then,3,1
of courage and valor was,5,1
increased and the,3,1
the marquis of,3,1
hands of one of his,5,1
familiar to those who,4,1
likewise bands of men,4,1
there to celebrate,3,1
another like men who had,5,1
time the whole land of,5,1
as a foolish errand,4,1
truth compels him to,4,1
engine to work,3,1
the yankee under the,4,1
time to the,3,1
fort to assail it now,5,1
comely and noble and,4,1
one cheek,2,1
buried them w th honor,5,1
your benefit and,3,1
his virtue when he heard,5,1
came towards the vessel,4,1
for your benefit,3,1
the war energetic measures proposed,5,1
to dwell upon the wickedness,5,1
an island in the,4,2
hard and they,3,1
for the savages put,4,1
york and throughout the land,5,1
all servants and,3,1
every man to his,4,2
had it round about,4,1
throw off the paltry,4,1
town about,2,1
carried about four hundred and,5,1
who volunteered his,3,1
windows of,2,1
it were of thunder,4,1
evacuated niagara frontier,3,1
put much,2,2
one of his captains,4,1
in the gristle,3,1
were tremendous for,3,1
signed the treaty,3,1
a great noise issued from,5,1
make conquest of,3,1
all other wars brought evil,5,1
and the destroying,3,3
fatness of the land of,5,1
and wickedness of traitorous,4,1
balls amongst them for,4,1
better,1,1
and along the,3,1
her again,2,1
perry and porter raised,4,1
day of the eighth,4,6
fink gibson and many,4,1
by the emperor,3,1
strove to give,3,1
rested his,2,2
deform their countenances,3,1
of the king inasmuch,4,1
gave great praise to,4,3
the island of the,4,1
of baltimore erected to the,5,1
certain captain whose name was,5,1
continent is more than an,5,1
vomiting,1,1
windows in,2,1
of the savages who,4,1
a score of the mighty,5,1
the slain of,3,3
youth and in the days,5,1
to meet the,3,6
his country,2,4
flying bird of the,4,1
of the army were,4,1
and the governor of canada,5,1
fourteenth day of the same,5,1
nigh making,2,1
there came a,3,2
was completed they departed,4,1
forty that were slain,4,1
united states nobly and captured,5,1
columbia slaughtered in abundance,4,1
destroying engines to utter their,5,1
he unto this,3,1
from britain by stephen decatur,5,1
which produced the,3,1
from proctor the,3,1
the army of columbia met,5,1
must think to,3,1
all the captains and men,5,1
savages who,2,2
engines of death,3,4
on the river side,4,1
savages who came in search,5,1
the wickedness that was committed,5,1
and agreed,2,1
ancient palestine the holy land,5,1
moved down with about six,5,1
so harrison made,3,1
nigh the land that,4,1
not to the entreaties of,5,1
honor given them,3,1
committing great wickedness and depredations,5,1
to the east thereof and,5,1
nation of savages,3,1
republican patriotism that the people,5,1
